num_assets,num_customers,memory_gb,cpu_cores,first_x,gets_y,num_simulators
17666,272,32,8,51,10,13
10892,443,32,4,19,53,12
8561,299,64,4,41,54,12
15470,196,16,16,62,56,12
11184,491,16,2,39,22,6
8099,145,16,8,48,31,5
11278,306,64,8,40,30,15
13392,374,32,16,11,18,16
19151,53,16,16,87,35,10
18067,65,64,4,86,18,12
8104,329,16,8,21,24,7
12215,385,8,2,48,19,7
17790,296,16,16,75,51,16
7454,307,16,2,22,81,11
16837,433,32,2,55,33,11
19039,209,64,8,36,89,21
13996,389,32,8,26,58,16
19434,201,32,16,69,35,15
7731,445,32,8,73,46,8
19183,227,32,8,44,77,17
15965,212,32,8,79,59,10
13154,429,16,2,39,33,8
14762,82,32,16,80,28,9
10056,466,32,4,83,69,9
19948,494,64,2,72,48,16
13110,228,8,8,37,83,10
18773,476,16,2,69,27,9
15882,150,16,8,88,28,9
8840,317,16,8,46,45,12
6028,372,32,2,31,83,11
12385,114,32,16,77,64,7
5502,466,32,8,29,78,11
11910,217,64,16,77,56,17
17685,379,8,4,73,58,7
14062,92,32,8,26,42,13
11938,93,8,16,21,30,10
9488,334,64,16,31,31,17
5206,446,16,4,26,57,8
10134,61,32,16,19,46,11
10977,144,8,16,74,24,6
12721,351,8,4,31,44,9
12035,435,32,8,59,80,12
6484,302,16,16,23,41,11
12858,291,16,16,73,20,7
5863,84,16,16,56,19,8
7790,264,64,2,38,82,12
12408,386,8,4,85,87,9
13755,139,8,2,45,86,10
10116,313,8,4,61,66,7
17383,142,64,8,85,34,14
11019,459,8,8,16,11,11
6757,139,64,16,38,73,16
19820,467,16,4,20,44,13
12574,164,32,8,42,16,13
11374,154,8,4,15,27,8
11892,440,8,8,88,76,9
6678,245,16,2,41,51,5
8242,363,32,8,60,48,8
9636,163,64,2,84,50,8
6059,124,32,8,67,84,9
11668,462,16,16,35,33,12
18471,425,16,2,55,69,13
14914,469,32,8,38,55,17
16506,266,64,16,13,28,17
8157,326,64,2,22,77,14
10915,298,8,16,48,51,7
15817,213,64,4,24,41,14
15921,443,32,4,38,48,15
19892,406,16,2,38,45,12
14789,457,8,8,84,45,7
16252,241,8,2,41,12,5
7693,276,16,16,11,82,11
18083,226,64,8,56,17,15
18339,148,16,4,87,79,8
18931,85,64,8,31,50,18
8627,145,16,4,84,77,9
14555,201,32,8,36,22,10
15173,200,64,8,76,58,13
10450,239,32,8,65,69,8
6663,273,8,16,30,11,5
14721,86,16,16,56,69,14
15230,317,8,2,89,14,5
10592,418,8,2,68,53,8
16494,232,8,4,15,36,15
15429,62,8,16,28,41,8
12392,328,16,4,66,30,8
18696,266,8,2,78,17,5
18688,404,16,4,12,81,17
6306,410,16,2,10,59,7
17221,335,32,16,67,76,16
11776,322,64,8,47,53,12
15867,418,64,16,24,67,19
18260,111,16,4,43,12,10
10864,133,32,4,70,79,12
14474,417,16,16,44,11,9
12526,266,16,16,73,53,9
13901,391,16,2,34,11,10
10575,446,32,4,33,44,9
10530,236,64,4,21,39,16
17936,68,32,16,27,17,14
9413,226,8,8,24,31,8
8748,149,32,4,89,53,7
18545,445,32,8,36,67,15
17971,494,32,16,81,45,15
5663,282,32,16,69,78,8
6998,452,64,2,55,86,11
12994,125,8,4,26,40,10
16637,314,64,8,62,56,17
16935,333,64,2,17,64,18
18919,255,32,4,88,89,11
6495,272,16,2,36,71,5
8304,433,16,16,55,39,9
8763,101,64,4,59,64,13
10232,388,64,2,80,25,7
6853,416,32,2,12,21,6
18808,193,64,8,73,26,15
11585,422,32,2,53,25,9
17851,118,16,4,62,21,6
6291,148,16,4,33,17,5
8581,445,8,8,69,12,5
16649,74,16,4,12,25,14
12554,485,64,16,29,39,17
12280,428,16,4,55,32,9
6636,102,32,4,24,14,7
8696,200,16,2,34,74,6
16191,193,8,2,87,39,11
16344,106,16,4,80,30,5
5698,88,32,8,26,79,12
15352,158,32,2,18,31,13
17289,230,64,8,47,81,17
9737,91,16,4,57,41,7
19555,235,32,4,69,42,12
18877,472,8,16,72,25,10
5854,447,64,2,11,85,15
13164,272,8,4,81,47,5
10855,171,16,16,20,23,10
12392,182,16,2,73,45,5
11528,212,16,4,86,32,5
16666,264,64,4,81,75,16
18949,270,32,2,30,11,11
10249,284,64,2,27,82,14
10172,380,8,2,73,74,6
6707,195,64,4,47,84,15
15969,288,8,4,41,76,12
10791,125,64,16,20,61,17
14925,58,32,8,54,71,14
10535,123,8,2,42,32,5
19582,491,16,4,50,35,14
9931,450,16,4,17,77,11
8510,302,64,2,20,64,10
5202,279,16,8,60,15,5
16447,56,8,2,50,44,8
9218,223,16,8,26,31,5
17688,190,32,4,85,52,11
13958,217,32,8,55,24,8
9389,219,64,16,41,69,15
7327,442,8,4,88,21,5
13004,483,32,16,89,58,12
7931,332,32,2,63,51,7
12777,171,8,2,29,47,9
5197,243,16,2,42,54,5
12125,54,16,8,83,44,9
6930,78,64,4,49,39,11
16774,214,16,2,41,39,10
11287,471,8,2,11,87,11
13800,388,32,4,42,15,14
16464,185,16,2,86,76,11
14339,414,64,16,39,89,24
9282,370,16,4,42,16,7
16589,391,8,4,86,61,6
7511,194,64,4,35,23,10
14986,376,16,16,31,82,12
5659,266,64,4,75,24,9
7811,350,8,16,47,30,9
12098,181,32,4,55,44,8
19243,341,8,8,24,75,13
11546,119,8,2,53,11,5
14561,301,8,8,58,44,7
6986,464,8,2,84,87,5
18822,324,32,16,70,29,16
13338,494,32,8,76,19,9
16411,413,64,4,15,34,16
7911,231,16,2,18,75,5
6734,216,32,2,15,34,10
6843,140,32,8,82,63,6
13680,251,16,16,41,42,15
7976,395,32,8,50,45,11
6959,68,8,16,85,23,5
10759,88,8,16,17,74,10
11694,175,16,2,81,89,12
7385,222,64,8,59,63,12
16111,190,64,8,71,61,14
9736,291,16,16,71,12,7
6802,269,16,8,16,50,7
13155,175,8,4,84,15,5
13120,107,64,4,89,34,11
11616,197,32,8,13,22,13
19257,366,8,8,15,17,12
19486,432,16,16,67,30,11
10534,410,64,4,31,77,14
9061,472,32,4,35,34,8
16561,50,32,2,12,88,15
18922,436,8,16,50,77,16
5262,397,64,2,69,54,10
19075,239,64,4,23,69,21
11287,240,16,16,84,21,6
19681,418,64,8,21,41,20
13815,458,64,16,21,22,18
14208,361,8,8,22,40,9
16835,466,64,8,34,87,19
18168,471,32,16,54,29,11
7049,166,8,8,28,27,8
10423,183,8,2,64,69,6
19589,107,16,4,54,72,14
16915,93,64,8,17,15,16
9548,222,16,2,62,41,5
8108,209,32,8,64,52,5
18471,222,8,4,41,11,6
17282,366,8,2,60,69,5
12158,352,8,4,53,32,6
15248,198,32,4,79,40,14
12400,129,32,2,27,14,6
8170,423,16,2,31,43,5
14874,262,16,2,46,19,10
7255,252,16,16,65,11,10
6154,301,64,2,68,20,8
9499,278,8,2,12,59,9
11295,213,8,2,37,40,6
11197,276,16,2,83,65,5
16383,196,8,8,44,88,10
14888,69,16,16,70,82,12
17183,490,64,4,63,18,13
17915,451,64,2,72,30,14
17874,96,32,8,88,82,15
6648,282,64,8,16,37,11
10539,354,16,8,85,71,10
14637,63,64,4,58,16,11
9199,192,32,2,40,89,13
17115,464,8,16,67,25,11
13445,50,16,16,70,13,7
16375,422,8,8,33,13,10
7557,103,32,4,29,49,8
10592,423,32,4,46,26,9
5098,308,32,4,13,61,11
7200,193,8,16,29,61,9
19172,490,8,8,69,45,11
7961,61,8,2,33,47,5
19207,379,8,16,59,59,15
9973,273,32,8,58,72,11
9433,321,32,8,60,72,8
16969,407,16,2,45,71,14
7869,457,16,2,75,16,5
16426,205,8,2,88,36,9
16983,422,64,4,43,23,16
5956,57,64,2,45,80,12
18992,171,32,8,15,14,13
17259,397,32,2,48,64,14
13352,213,32,8,51,11,12
10699,139,16,16,67,71,11
11944,185,16,4,21,30,7
9493,235,32,16,12,88,15
14492,365,32,16,27,30,16
9911,227,32,8,49,19,13
8987,77,64,16,30,67,15
14719,269,16,8,24,48,14
11015,406,64,2,35,14,14
18703,90,64,2,17,74,17
18446,277,32,8,51,22,16
6218,241,32,2,53,62,5
9496,460,8,4,23,54,10
9735,496,8,16,87,41,8
16296,194,64,4,11,45,17
15927,250,16,16,46,69,19
9555,466,32,2,78,20,5
14146,261,32,4,47,72,12
13050,269,64,2,50,30,15
17757,289,8,16,71,61,14
8446,462,16,8,69,64,10
6045,446,8,8,23,35,7
11893,95,8,4,11,77,11
6693,84,8,2,79,43,6
19373,302,8,2,26,61,11
19565,439,32,4,37,61,15
8436,131,32,8,75,38,9
13754,420,8,16,44,47,11
15677,305,16,4,14,51,11
10895,246,64,16,74,30,14
8354,352,16,8,49,51,10
19362,458,16,2,85,22,9
5225,499,16,8,65,73,6
9893,59,8,4,45,26,5
19619,361,32,2,54,18,11
12022,335,16,4,32,50,12
14151,291,8,4,56,10,7
10600,300,16,8,40,11,6
17740,414,16,4,20,69,15
16259,54,8,8,19,57,14
12996,168,32,2,76,38,7
14007,338,32,8,23,19,9
17946,423,64,2,89,67,19
12683,114,8,8,83,69,5
9642,195,64,16,19,30,14
18503,273,64,16,85,37,17
16312,288,64,4,10,84,19
12679,226,32,8,14,43,12
13208,316,8,8,29,17,10
12339,390,64,2,17,68,11
14435,331,8,4,52,81,8
7205,112,8,8,85,58,5
15716,266,32,4,10,88,15
6069,391,64,16,66,26,11
8444,364,64,8,73,69,13
15757,332,8,8,37,54,7
19434,226,16,4,46,78,16
19056,466,32,8,56,41,13
6060,147,32,4,85,53,5
7327,154,32,8,46,74,10
8420,148,32,2,58,17,6
19832,434,64,4,53,86,22
5301,454,64,8,65,81,12
17468,360,16,16,37,52,17
5606,55,32,8,88,10,5
8170,246,32,16,15,60,13
5699,400,8,16,70,33,5
10088,182,64,2,29,33,12
14331,407,32,4,87,26,8
5190,308,16,8,11,14,6
15492,486,16,2,82,29,7
5980,72,64,8,46,30,11
7975,102,16,16,29,67,7
11102,214,16,4,35,40,6
6184,251,64,8,38,20,10
8327,132,32,8,10,61,9
8394,194,32,16,44,24,10
13319,134,16,8,79,16,6
15257,127,16,8,68,37,6
6816,415,32,16,78,60,6
10854,50,64,2,42,67,8
11709,100,16,16,60,14,6
5569,222,8,2,87,14,5
10442,254,64,4,21,17,13
6895,309,16,2,29,73,8
7733,495,16,2,62,19,5
8863,498,8,4,52,47,6
17913,418,8,2,59,17,9
12455,337,32,16,38,34,10
9014,83,64,2,66,82,12
16093,397,64,4,48,75,18
6686,144,32,16,65,88,10
8009,121,64,4,52,59,13
12806,88,64,4,59,76,13
5154,203,64,8,32,58,10
15729,299,64,8,53,45,17
6409,211,64,4,47,77,16
17249,487,8,4,32,87,14
5784,167,64,4,54,50,11
16367,308,8,8,61,71,10
13096,428,64,8,89,19,9
12560,355,32,2,59,30,9
